epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8583,3.4592,5.1832,1.38299,0,0,0,0,3.39359,5.14524,1.26149,0.00013336,0.00013336,0.00013336
2,73.6361,2.67477,3.22875,1.0858,0.0151,0.2007,0.01041,0.00252,2.83983,4.19311,1.06466,0.000280584,0.000280584,0.000280584
3,109.115,2.44154,2.33396,1.03622,0.02434,0.26761,0.01568,0.00488,2.76312,4.02116,1.05824,0.000424838,0.000424838,0.000424838
4,144.54,2.39784,2.16173,1.00665,0.02477,0.30634,0.02492,0.00627,2.6743,3.85101,1.03332,0.000566122,0.000566122,0.000566122
5,180.075,2.31725,1.84568,1.01798,0.02456,0.30986,0.01615,0.00636,2.59014,3.79381,1.02238,0.000704434,0.000704434,0.000704434
6,215.813,2.40774,1.79231,0.97614,0.02054,0.28873,0.01358,0.00555,2.49419,3.77345,1.00599,0.000839776,0.000839776,0.000839776
7,251.38,2.2503,1.69569,1.03375,0.03692,0.59155,0.12477,0.04917,2.37222,3.44,0.94493,0.000972148,0.000972148,0.000972148
8,287.56,2.20887,1.5908,0.97183,0.04125,0.71831,0.32724,0.10637,2.49703,3.09305,0.98264,0.00110155,0.00110155,0.00110155
9,323.517,2.17338,1.61325,0.98501,0.03389,0.57746,0.19223,0.06243,2.74661,3.31832,1.07954,0.00122798,0.00122798,0.00122798
10,359.28,2.23994,1.62398,1.02079,0.03678,0.64437,0.31402,0.10763,2.54325,3.09964,1.00885,0.00135144,0.00135144,0.00135144
11,395.049,2.25737,1.59844,0.98557,0.64113,0.13028,0.24525,0.06485,3.13486,2.52808,1.22321,0.00147193,0.00147193,0.00147193
12,430.783,2.29212,1.59984,0.9885,0.75363,0.12926,0.42307,0.13617,2.36871,2.52293,0.9463,0.00148546,0.00148546,0.00148546
13,466.447,2.18782,1.50422,0.97444,0.63265,0.54577,0.53362,0.15715,2.51522,1.71976,0.97063,0.00146896,0.00146896,0.00146896
14,501.811,2.08268,1.46981,0.95777,0.65282,0.60563,0.62684,0.22083,2.28205,1.61965,0.91392,0.00145246,0.00145246,0.00145246
15,537.106,1.83074,2.40893,0.86609,0.66576,0.63824,0.64914,0.20649,2.45789,1.42625,0.95395,0.00143595,0.00143595,0.00143595
16,572.373,2.15623,1.38218,0.95317,0.76584,0.36853,0.51695,0.1942,2.47874,2.0175,0.99813,0.00141945,0.00141945,0.00141945
17,607.83,2.05421,1.31327,0.95916,0.69169,0.43662,0.53043,0.19866,2.44687,1.83655,0.97438,0.00140295,0.00140295,0.00140295
18,643.433,2.03184,1.28501,0.94196,0.62393,0.60915,0.61471,0.23367,2.25147,1.51,0.90533,0.00138644,0.00138644,0.00138644
19,679.045,2.08429,1.32237,0.94619,0.68964,0.59155,0.6297,0.24293,2.25657,1.54499,0.91169,0.00136994,0.00136994,0.00136994
20,714.3,2.07899,1.28819,0.92685,0.66776,0.67939,0.68215,0.24238,2.23357,1.33718,0.91027,0.00135344,0.00135344,0.00135344
21,749.957,2.10253,1.25203,0.94481,0.65067,0.68209,0.68422,0.25679,2.21739,1.27159,0.90066,0.00133693,0.00133693,0.00133693
22,785.284,1.98734,1.22637,0.9324,0.70197,0.69665,0.68566,0.23796,2.21552,1.26431,0.90879,0.00132043,0.00132043,0.00132043
23,820.569,2.03723,1.32867,0.94187,0.69259,0.66638,0.6995,0.24762,2.16241,1.24342,0.89751,0.00130393,0.00130393,0.00130393
24,855.699,1.86933,1.17958,0.95251,0.67782,0.65845,0.65274,0.22121,2.29484,1.22548,0.90739,0.00128742,0.00128742,0.00128742
25,891.328,2.09844,1.24195,0.93676,0.80609,0.71723,0.7704,0.28138,2.22385,1.17131,0.89823,0.00127092,0.00127092,0.00127092
26,926.964,1.73065,1.47679,0.83956,0.74544,0.7321,0.75917,0.2836,2.13214,1.13963,0.88889,0.00125442,0.00125442,0.00125442
27,962.138,2.03387,1.12986,0.95295,0.76184,0.74338,0.76927,0.28657,2.14726,1.11764,0.89342,0.00123791,0.00123791,0.00123791
28,997.44,2.08985,1.15933,0.94972,0.69175,0.70326,0.698,0.25023,2.18563,1.16445,0.89978,0.00122141,0.00122141,0.00122141
29,1032.92,2.00346,1.27993,0.92724,0.72559,0.71692,0.71647,0.2534,2.12268,1.16497,0.90154,0.00120491,0.00120491,0.00120491
30,1068.11,1.71994,1.507,0.83377,0.74886,0.73496,0.75831,0.27228,2.19853,1.11347,0.90529,0.0011884,0.0011884,0.0011884
31,1103.33,1.94083,1.07429,0.92944,0.77987,0.71104,0.74189,0.2799,2.16913,1.14119,0.9058,0.0011719,0.0011719,0.0011719
32,1138.47,1.96793,1.10056,0.91922,0.76036,0.71479,0.7285,0.27505,2.11802,1.20525,0.89071,0.0011554,0.0011554,0.0011554
33,1173.88,1.89323,1.11148,0.91699,0.77875,0.72887,0.76443,0.2758,2.13102,1.16433,0.89469,0.00113889,0.00113889,0.00113889
34,1209.06,1.81603,1.07669,0.93838,0.7439,0.69014,0.71145,0.24843,2.18575,1.20291,0.89461,0.00112239,0.00112239,0.00112239
35,1244.35,1.84994,1.04357,0.91402,0.77554,0.74296,0.78359,0.27878,2.15727,1.09711,0.88916,0.00110589,0.00110589,0.00110589
36,1279.53,1.92534,1.1383,0.91248,0.761,0.73592,0.76101,0.2778,2.13184,1.053,0.88229,0.00108938,0.00108938,0.00108938
37,1314.91,1.76744,1.01652,0.94159,0.73336,0.7554,0.77386,0.27452,2.14926,1.11327,0.88894,0.00107288,0.00107288,0.00107288
38,1350.76,1.86222,1.02466,0.9081,0.7104,0.73944,0.74444,0.26407,2.17243,1.0731,0.89069,0.00105638,0.00105638,0.00105638
39,1385.8,1.87874,1.03145,0.92994,0.73049,0.75352,0.77589,0.29031,2.12374,1.01049,0.88528,0.00103987,0.00103987,0.00103987
40,1421.12,1.8622,1.04239,0.93615,0.7197,0.66901,0.70699,0.26793,2.11789,1.13965,0.89303,0.00102337,0.00102337,0.00102337
41,1456.64,1.78565,0.99564,0.91172,0.76771,0.75643,0.78968,0.28678,2.09288,1.02242,0.88393,0.00100687,0.00100687,0.00100687
42,1491.57,1.81645,0.9887,0.91235,0.81869,0.77905,0.81648,0.2912,2.09329,1.00492,0.87617,0.000990365,0.000990365,0.000990365
